Site,Plot,SoilTemp,SoilMoist,Slope,Aspect,Date,Collectors
Zmud,1,21.6,3.9,3.13,W,7/12/2022,BJR + ARM
Zmud,2,20.4,1.3,19.19,W,7/12/2022,BJR + ARM
Zmud,3,19.4,6.4,29.06,SW,7/12/2022,BJR + ARM
Zmud,4,20,0.3,3.65,NE,7/12/2022,BJR + ARM
Zmud,5,23.6,1.9,5.14,W,7/12/2022,BJR + ARM
Zmud,6,22.8,2.3,0.73,W,7/12/2022,BJR + ARM
Zmud,7,20.9,1.5,3.5,N,7/12/2022,BJR + ARM
Zmud,8,21.8,0.7,8.91,N,7/12/2022,BJR + ARM
Zmud,9,23,0.8,17.45,N,7/12/2022,BJR + ARM
Zmud,10,24.3,1,21.41,W,7/12/2022,BJR + ARM
Zmud,11,23.8,1.5,16.57,SE,7/12/2022,BJR + ARM
Zmud,12,23,0.9,22.78,NE,7/12/2022,BJR + ARM
Zmud,13,22,0.7,2.5,W,7/12/2022,BJR + ARM
Zmud,14,21.6,1.2,1.52,N,7/12/2022,BJR + ARM
Zmud,15,21.6,1.2,3.08,SW,7/12/2022,BJR + ARM
Zmud,16,23.7,0.4,17.12,NE,7/12/2022,BJR + ARM
Zmud,18,23,1.6,9.31,E,7/12/2022,BJR + ARM
Zmud,19,22.1,1.8,2.23,N,7/12/2022,BJR + ARM
Zmud,20,23.6,0.8,2.47,W,7/12/2022,BJR + ARM
Zmud,21,23,1,2.27,SW,7/12/2022,BJR + ARM
Zmud,22,22.1,0.9,4.56,N,7/12/2022,BJR + ARM
Zmud,23,22.7,1.2,11.07,N,7/12/2022,BJR + ARM
Zmud,24,22.9,1.4,2.18,S,7/12/2022,BJR + ARM
Zmud,25,22.4,1.3,12.21,S,7/12/2022,BJR + ARM
Zmud,26,21.6,0.4,3.42,W,7/12/2022,BJR + ARM
Zmud,27,21.2,0.4,2.23,SW,7/12/2022,BJR + ARM
Zmud,28,20.7,0.6,18.03,E,7/12/2022,BJR + ARM
Zmud,29,21,1.1,17.01,S,7/12/2022,BJR + ARM
Zmud,30,18.6,1.2,2.45,SW,7/12/2022,BJR + ARM
Zmud,31,20.3,1,10.31,SW,7/12/2022,BJR + ARM
