Site,Plot,dry_weight,pH,cond_us.cm,salinity_ppt,Notes
GuNi,1,20.01,8.29,2601,0.996,
GuNi,2,19.99,7.78,1727,0.715,
GuNi,3,20.03,8.45,1173,0.482,
GuNi,4,20.01,8.97,1419,0.581,
GuNi,5,20,7.57,2273,1.122,
GuNi,6,20.02,8.14,2292,0.941,
GuNi,7,20,9.04,578.4,0.214,
GuNi,8,20.02,8.45,1887,0.904,"Underfilled with water, added more water to match fill line (27.5ml)"
GuNi,9,20.02,8.8,837.5,0.352,
GuNi,10,20.04,8.45,2012,0.837,
GuNi,11,20.01,8.69,1051,0.416,
GuNi,12,19.99,7.82,1426,0.651,
GuNi,13,20.02,8.92,907,0.3,
GuNi,14,20.02,9.21,808.7,0.294,
GuNi,15,20.03,9.11,359.7,0.166,
GuNi,16,19.97,8.32,2786,0.918,
GuNi,17,20.04,8.17,2055,0.786,
GuNi,18,20.05,8.57,1434,0.547,
GuNi,19,20.03,8.57,2208,0.939,
GuNi,20,19.96,8.59,1982,0.773,
GuNi,21,19.96,8.52,1064,0.416,
GuNi,22,20.03,8.51,3354,1.308,"Underfilled with water, added more water to match fill line (27.5ml)"
GuNi,23,20.04,8.41,1769,0.791,"Underfilled with water, added more water to match fill line (27.5ml)"
GuNi,24,20,7.99,2472,1.182,
GuNi,25,20.04,8.43,1067,0.468,
GuNi,26,20.02,8.54,3109,1.246,
GuNi,27,19.99,8.52,1768,0.672,
GuNi,29,20.04,8.36,3164,1.257,
GuNi,30,20.03,8.03,2833,1.079,
GuNi,31,20.03,9.02,2201,0.841,
GuNi,32,19.96,9.17,232.1,0.082,
GuNi,33,19.99,8.59,2173,0.851,"Underfilled with water, added more water to match fill line (27.5ml)"
GuNi,34,20.03,8.52,2085,0.844,
GuNi,35,20.01,8.72,1576,0.606,
GuNi,36,20.01,8.84,596.5,0.222,"Underfilled with water, added more water to match fill line (27.5ml)"
GuNi,37,19.94,8.38,3010,1.202,
GuNi,38,20.05,8.23,3364,1.339,
GuNi,39,20.04,8.63,1449,0.581,
GuNi,40,20.03,7.88,2126,0.977,
TeMi,1,20,9.3,1461,0.576,"highlighted: mixed on 1/27, refrigerated, read on 2/1"
TeMi,2,20.02,9.42,941,0.287,
TeMi,3,20.03,9.12,883.4,0.319,
TeMi,4,20,9.21,614.8,0.231,
TeMi,5,20.02,8.99,524.9,0.192,
TeMi,6,20.02,9.28,740,0.262,
TeMi,7,20.02,9.13,1107,0.426,
TeMi,8,19.99,9.33,906,0.334,
TeMi,9,20,9.24,689.1,0.257,
TeMi,10,20.03,9.14,966,0.37,"highlighted: mixed on 1/27, refrigerated, read on 2/1"
TeMi,11,20,9.34,344.3,0.128,
TeMi,12,20.01,9.2,338.7,0.121,
TeMi,13,20.05,8.99,414.2,0.148,
TeMi,14,20.01,9.06,422.5,0.153,
TeMi,15,20.07,9.08,500,0.188,
TeMi,16,20.01,9.12,456.9,0.172,"highlighted: mixed on 1/27, refrigerated, read on 2/1"
TeMi,17,19.99,9.13,523.2,0.198,"highlighted: mixed on 1/27, refrigerated, read on 2/1"
TeMi,18,20.02,9.1,445.8,0.157,
TeMi,19,20.02,9.2,405.2,0.142,
TeMi,20,20.02,9.33,192.9,0.057,
TeMi,21,20.04,9.11,948.8,0.357,
TeMi,22,20.03,8.78,354,0.142,
TeMi,23,20.05,9.47,451.1,0.168,
TeMi,24,20.02,9.22,604.2,0.217,
TeMi,25,20,9.37,489.5,0.164,
TeMi,26,20.05,8.98,845.9,0.281,
TeMi,28,20.03,9.2,993.4,0.342,
TeMi,29,20.05,9.52,273.7,0.096,
TeMi,31,20,9.12,373.3,0.134,
TeMi,32,20.02,9.08,1213,0.477,"highlighted: mixed on 1/27, refrigerated, read on 2/1"
TeMi,33,20.03,9.07,1110,0.432,"highlighted: mixed on 1/27, refrigerated, read on 2/1"
TeMi,34,20.03,9.16,636,0.23,
TeMi,35,20.01,9.05,919.4,0.342,
TeMi,36,20.01,9.12,781.5,0.288,
TeMi,37,20.04,9.22,648.4,0.246,"highlighted: mixed on 1/27, refrigerated, read on 2/1"
TeMi,38,20.02,9.44,685,0.23,
TeMi,39,20.03,9.2,1245,0.471,
TeMi,40,20.01,9.34,703.3,0.267,"highlighted: mixed on 1/27, refrigerated, read on 2/1"
TeMi,48,19.99,9.43,662,0.321,
TeMi,50,20.01,9.23,1023,0.414,
