OID_,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK,FROM_X,FROM_Y,NEAR_X,NEAR_Y,NEAR_ANGLE
1,2,4,1.257653833075910,1,-120.636346321628992,35.015143332289341,-120.636349433999953,35.015132289000064,-166.945767524428589
2,2,5,1.578282057729004,2,-120.635791306932987,35.015037458335073,-120.635787400999959,35.015051317000015,13.054549513402652
3,2,1,7.050741015668279,3,-120.636486291693473,35.015170032372914,-120.636468842999989,35.015231944000043,13.054152558785697
4,2,6,14.360984701127110,4,-120.635786466528188,35.015036534972801,-120.635742983999990,35.015160941000033,16.042689077220832
5,2,7,19.489113130751640,5,-120.636067798214313,35.015090201838596,-120.636019566999963,35.015261333000062,13.054391584984332
6,2,2,21.711196836721417,6,-120.636460512531087,35.015165114864885,-120.636406782999984,35.015355758000055,13.054167259547111
7,2,3,27.572949622658356,7,-120.636409881018736,35.015155456625457,-120.636341644999959,35.015397571000051,13.054196191109755
8,2,9,31.869746021016518,8,-120.636224029126538,35.015120004155179,-120.636145158999966,35.015399848000065,13.054302354096693
9,2,8,34.749292457613507,9,-120.636017025077194,35.015080516402158,-120.635931027999973,35.015385645000038,13.054420579131843
10,2,13,35.632810025608165,10,-120.635806840356878,35.015040421510946,-120.635718656000009,35.015353308000037,13.054540660234311
11,2,12,37.604014819188116,11,-120.636180168316415,35.015111637371483,-120.636087106999994,35.015441833000061,13.054327416102822
12,2,11,41.487639192449748,12,-120.636269687065109,35.015128713736232,-120.636167014999970,35.015493011000046,13.054276268154599
13,2,10,41.787560182356103,13,-120.636346283979577,35.015143325107481,-120.636242870000004,35.015510256000013,13.054232515809183
14,2,14,52.252080005525094,14,-120.636094769571258,35.015095346860043,-120.635965456999926,35.015554165000012,13.054376178053204
15,2,18,55.995706734846841,15,-120.635901966377986,35.015058567824902,-120.635763387999972,35.015550258000069,13.054486293104786
16,2,15,60.119247575783341,16,-120.636150863891473,35.015106047319428,-120.636002081999962,35.015633946000037,13.054344150697686
17,2,17,61.120195760682037,17,-120.635919090459495,35.015061834419313,-120.635767829999978,35.015598522000055,13.054476512543458
18,2,19,64.454631051350106,18,-120.635788366439300,35.015036897402481,-120.635628852999943,35.015602864000073,13.054551476510031
19,2,16,69.962471260194803,19,-120.636127767046233,35.015101641407036,-120.635954624999940,35.015715972000066,13.054357353229127
20,2,20,95.278510074120589,20,-120.636370568098343,35.015147957453628,-120.636134775999949,35.015984585000069,13.054218648538514
21,2,21,98.541710524494960,21,-120.636366008888970,35.015147087756596,-120.636122140999973,35.016012369000059,13.054221254253148
22,2,26,100.227435086893195,22,-120.636035561044736,35.015084052308808,-120.635787517999972,35.015964135000047,13.054409992850918
23,2,22,104.930247961290490,23,-120.636526590519040,35.015177719569401,-120.636266913999989,35.016099098000041,13.054129514405240
24,2,23,109.987488341973403,24,-120.636620606049547,35.015195653430574,-120.636348414999986,35.016161439000022,13.054075808653556
25,2,25,113.021786405289731,25,-120.636428184445251,35.015158948107413,-120.636148481999939,35.016151377000035,13.054185730031856
26,2,24,119.321001875561748,26,-120.636563563100921,35.015184772255800,-120.636268272999985,35.016232514000023,13.054108408018596
27,2,40,121.419429602456532,27,-120.636144106387107,35.015104758270631,-120.635843617999967,35.016170925000033,13.054348013316545
28,2,28,122.140128490947674,28,-120.635826011904300,35.015044078696896,-120.635523735999982,35.016116573000026,13.054529706852929
29,2,27,122.737610211442842,29,-120.635893087759385,35.015056874136192,-120.635589333999988,35.016134615000055,13.054491368264964
30,2,39,125.772866861158448,30,-120.636240846178552,35.015123212131336,-120.635929584999985,35.016227606000029,13.054292744914909
31,2,29,128.159003027413945,31,-120.635797328166902,35.015038606953638,-120.635480155999957,35.016163952000049,13.054546286284495
32,2,38,136.011284618924805,32,-120.636545571287755,35.015181340238016,-120.636208975999992,35.016375637000067,13.054118670186279
33,2,30,138.410652118125512,33,-120.635795623688111,35.015038281805033,-120.635453079999991,35.016253645000056,13.054547245685864
34,2,36,140.990013048084819,34,-120.636407634589304,35.015155028106157,-120.636058715999994,35.016393042000061,13.054197469586038
35,2,35,143.455192262706959,35,-120.636359729139059,35.015145889855638,-120.636004708999963,35.016405550000059,13.054224835819374
36,2,31,147.748881062787945,36,-120.635786466528188,35.015036534972801,-120.635407557999926,35.016331319000066,13.536574076771537
37,2,34,151.502210430605430,37,-120.636312225791016,35.015136828287915,-120.635937289999958,35.016467148000054,13.054251965227952
38,2,37,152.401172200661904,38,-120.636487406879226,35.015170245100215,-120.636110248999969,35.016508459000079,13.054151899134441
39,2,33,156.595653311607691,39,-120.636286765592686,35.015131971583664,-120.635899223999942,35.016507016000048,13.054266512165505
40,2,32,160.343394564727646,40,-120.636161538651450,35.015108083615665,-120.635764719999941,35.016516036000034,13.054338055460583
41,3,23,3.599231280451667,1,-120.636386812921415,35.016168829992296,-120.636348414999986,35.016161439000022,103.168524056144065
42,3,24,8.925098971316956,2,-120.636363489311563,35.016250841658632,-120.636268272999985,35.016232514000023,103.168537318937098
43,3,38,10.577495251822151,3,-120.636321820882017,35.016397357894746,-120.636208975999992,35.016375637000067,103.168561126454819
44,3,22,12.417860627833122,4,-120.636399392202094,35.016124598014009,-120.636266913999989,35.016099098000041,103.168516814079268
45,3,37,15.994358426683762,5,-120.636280883369693,35.016541303524626,-120.636110248999969,35.016508459000079,103.168584504237941
46,3,1,16.388840905260391,6,-120.636643683301529,35.015265598086913,-120.636468842999989,35.015231944000043,103.168377270765717
47,3,2,18.774903220524642,7,-120.636607078702795,35.015394311888294,-120.636406782999984,35.015355758000055,103.168398185870018
48,3,25,21.621620639098182,8,-120.636379149359030,35.016195777019782,-120.636148481999939,35.016151377000035,103.168528380178159
49,3,36,23.491185894026824,9,-120.636309329261650,35.016441281336114,-120.636058715999994,35.016393042000061,103.168568262882971
50,3,3,23.506998430880707,10,-120.636592424082650,35.015445842233085,-120.636341644999959,35.015397571000051,103.168406555121834
51,3,20,27.055238793876494,11,-120.636423410629135,35.016040142925803,-120.636134775999949,35.015984585000069,103.168503098581994
52,3,21,27.475891774975310,12,-120.636415263393971,35.016068790761317,-120.636122140999973,35.016012369000059,103.168507749974211
53,3,35,27.974647263170617,13,-120.636303153641819,35.016462996233209,-120.636004708999963,35.016405550000059,103.168571779980155
