Old_Species_Name,New_Species_Name
Sea Rocket,Cakile maritima
Yellow Sand Verbena,Abronia latifolia
Morning glory,Calystegia soldanella
Beach primrose,Camissoniopsis cheiranthifolia
Carpobrotus edulis,Carpobrotus edulis
Sagewort,Artemisia pycnocephala
California Goldenbush,Ericameria ericoides
Foxglove,Castilleja latifolia
Monterey Spine Flower,Chorizanthe pungens
Branching Phacelia,Phacelia ramosissima
Cotton Batting Plant,Pseudognaphalium stramineum
Yellow Bush Lupine,Lupinus arboreus
Pink Sand Verbena,Abronia umbellata
Lupinus Littoralis,Lupinus Littoralis
Seaside Agoseris,Agoseris apargioides
Beach Burr,Ambrosia chamissonis
Agoseris,Agoseris apargioides
Purple Sand Verbena,Abronia maritima
Ammophila arenaria,Ammophila arenaria
Silky Beach Pea,Lathyrus littoralis
Saltbush,Extriplex californica
Poa douglassii,Poa douglassii
Juncus acutis leopoldii,Juncus acutis leopoldii
pacific gum plant,Grindelia stricta var. platyphylla
Erysimum menziesii,Erysimum menziesii
Beach Bur,Ambrosia chamissonis
American Dune Grass,Leymus mollis
Ammphila arenaria,Ammphila arenaria
Searocket,Cakile maritima
California Saltbush,Extriplex californica
CA Goldenbush,Ericameria ericoides
Foxglove (Monterey Paintbrush),Castilleja latifolia
moss,Moss
