OID_,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK,FROM_X,FROM_Y,NEAR_X,NEAR_Y,NEAR_ANGLE
1,1,6,9.092449356548743,1,-123.781757849999963,39.512410051000074,-123.781658761999950,39.512438617000043,69.585349035725486
2,1,2,10.105827569008341,2,-123.781757849999963,39.512410051000074,-123.781720581999991,39.512323727000080,161.509829685515257
3,1,42,19.745970633796382,3,-123.781757849999963,39.512410051000074,-123.781979398999965,39.512456761000067,-74.773434897743456
4,1,3,21.031372507165411,4,-123.781757849999963,39.512410051000074,-123.781582597999943,39.512277930000039,134.224389612285819
5,1,5,22.341019267133458,5,-123.781757849999963,39.512410051000074,-123.781521355999985,39.512493328000062,65.552948442923906
6,1,4,25.365680040253189,6,-123.781757849999963,39.512410051000074,-123.781482132999940,39.512328889000059,110.808378966615521
7,1,7,28.285001054374096,7,-123.781757849999963,39.512410051000074,-123.781527402999984,39.512591824000026,44.479379373396583
8,1,41,28.519545622730632,8,-123.781757849999963,39.512410051000074,-123.781987586999946,39.512595303000069,-43.848142862337447
9,1,8,33.370056286796704,9,-123.781757849999963,39.512410051000074,-123.781548472999987,39.512663104000069,32.655354549146629
10,1,16,39.415752603970404,10,-123.781757849999963,39.512410051000074,-123.781372005999970,39.512601662000066,57.334960786544748
11,1,15,41.632515579731745,11,-123.781757849999963,39.512410051000074,-123.781379832999960,39.512644310000042,51.338230210705987
12,1,18,42.002423672582196,12,-123.781757849999963,39.512410051000074,-123.781350501999952,39.512201327000071,123.485064886490207
13,1,9,42.772272900850076,13,-123.781757849999963,39.512410051000074,-123.781431388999977,39.512700693000056,41.024462547298150
14,1,10,48.928196690752010,14,-123.781757849999963,39.512410051000074,-123.781429749999973,39.512770085000056,35.217261712980076
15,1,11,56.833836036338077,15,-123.781757849999963,39.512410051000074,-123.781370667999965,39.512824900000055,35.863837022610056
16,1,17,57.730475828269483,16,-123.781757849999963,39.512410051000074,-123.781138794999947,39.512611166000056,67.245669042657582
17,1,13,58.239969492727845,17,-123.781757849999963,39.512410051000074,-123.781256368999948,39.512762592000058,47.773305524545776
18,1,14,59.231293952141698,18,-123.781757849999963,39.512410051000074,-123.781172821999974,39.512691600000039,58.146551486802963
19,1,12,59.935510808881638,19,-123.781757849999963,39.512410051000074,-123.781308273999969,39.512822553000035,40.170752121300382
20,1,19,69.388981673940265,20,-123.781757849999963,39.512410051000074,-123.781141536999939,39.512813424000058,49.803102000922387
21,1,34,71.172357713388436,21,-123.781757849999963,39.512410051000074,-123.781512799999973,39.513022352000064,17.223104855076510
22,1,32,74.157136424380468,22,-123.781757849999963,39.512410051000074,-123.781330648999983,39.512990254000044,29.696781548138706
23,1,33,77.521614144738976,23,-123.781757849999963,39.512410051000074,-123.781267862999982,39.512996127000065,32.926277457421776
24,1,35,77.584713765776243,24,-123.781757849999963,39.512410051000074,-123.781363099999965,39.513038408000057,25.947879946280530
25,1,20,79.623586779217803,25,-123.781757849999963,39.512410051000074,-123.781049416999963,39.512871803000053,49.919797631872747
26,1,30,85.869006358591989,26,-123.781757849999963,39.512410051000074,-123.781276195999965,39.513087538000036,28.840536751300284
27,1,31,86.106371193070629,27,-123.781757849999963,39.512410051000074,-123.781206026999939,39.513057192000076,33.444168697425653
28,1,36,86.193319637862601,28,-123.781757849999963,39.512410051000074,-123.781479998999941,39.513155963000031,16.094283708323314
29,1,37,89.308980335085593,29,-123.781757849999963,39.512410051000074,-123.781690982999976,39.513212784000075,3.691678219475460
30,1,38,90.701546690665154,30,-123.781757849999963,39.512410051000074,-123.781595969999955,39.513217316000066,8.828870058270287
31,1,39,100.139643954535089,31,-123.781757849999963,39.512410051000074,-123.781566280999982,39.513299715000073,9.468997403724465
32,1,29,101.615994349748163,32,-123.781757849999963,39.512410051000074,-123.781117382999980,39.513179192000052,32.821557002171275
33,1,40,105.996244645741868,33,-123.781757849999963,39.512410051000074,-123.781409172999986,39.513325757000075,16.432706032497723
34,1,27,119.694451935838046,34,-123.781757849999963,39.512410051000074,-123.781131124999945,39.513372654000079,26.761870052690124
