OID_,OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK,FROM_X,FROM_Y,NEAR_X,NEAR_Y,NEAR_ANGLE
1,0,1,3,12.428408609125730,1,-121.800523313999975,36.831421231000036,-121.800414957999976,36.831350835000080,128.944873532114030
2,0,1,2,15.660736283585520,2,-121.800523313999975,36.831421231000036,-121.800571617999992,36.831556904000024,-15.971082790228605
3,0,1,5,18.078482699896281,3,-121.800523313999975,36.831421231000036,-121.800329361999957,36.831468461000043,73.146737950023436
4,0,1,4,24.420213040786717,4,-121.800523313999975,36.831421231000036,-121.800310932999992,36.831282392000048,129.119133582922160
5,0,1,6,25.636202669527211,5,-121.800523313999975,36.831421231000036,-121.800281565999967,36.831546135000053,57.269520598731511
6,0,1,7,31.552305148727246,6,-121.800523313999975,36.831421231000036,-121.800367512999969,36.831676481000045,26.135436846269847
7,0,1,12,35.013449780265752,7,-121.800523313999975,36.831421231000036,-121.800133798999980,36.831382438000048,97.062483097703762
8,0,1,8,40.099252383407340,8,-121.800523313999975,36.831421231000036,-121.800395661999971,36.831767692000028,16.498060895914119
9,0,1,13,41.998104250519951,9,-121.800523313999975,36.831421231000036,-121.800063438999985,36.831340214000079,102.361233086470534
10,0,1,11,42.333484628546174,10,-121.800523313999975,36.831421231000036,-121.800055386999986,36.831484738000029,80.416668239549693
11,0,1,9,53.673424628409641,11,-121.800523313999975,36.831421231000036,-121.800213659999940,36.831835915000056,30.974527342355398
12,0,1,15,54.798113967268847,12,-121.800523313999975,36.831421231000036,-121.799910779999948,36.831458383000040,85.684894320058845
13,0,1,14,55.003834435836616,13,-121.800523313999975,36.831421231000036,-121.799907325999982,36.831399499000042,92.512811114038342
14,0,1,10,57.378567339272948,14,-121.800523313999975,36.831421231000036,-121.799892975999967,36.831524120000040,78.521609495306393
15,0,1,18,64.474907722816354,15,-121.800523313999975,36.831421231000036,-121.800016068999980,36.831835098000056,44.573434322337413
16,0,1,22,66.892959353743819,16,-121.800523313999975,36.831421231000036,-121.800303234999944,36.831997463000050,17.067192295268196
17,0,1,16,70.557815010382583,17,-121.800523313999975,36.831421231000036,-121.799732377999987,36.831422590000045,89.877295547293102
18,0,1,21,71.879557877857806,18,-121.800523313999975,36.831421231000036,-121.800132053999960,36.831987456000036,29.050395436913810
19,0,1,17,76.436432992761439,19,-121.800523313999975,36.831421231000036,-121.799830493999991,36.831826499000044,53.956973330482768
20,0,1,19,79.731376508922210,20,-121.800523313999975,36.831421231000036,-121.799908506999941,36.831942713000046,43.462113710781360
21,0,1,23,82.758790394597582,21,-121.800523313999975,36.831421231000036,-121.800428389999979,36.832163063000053,5.872781624708258
22,0,1,40,84.363869706031807,22,-121.800523313999975,36.831421231000036,-121.800783730999967,36.832152050000047,-15.983871301974688
23,0,1,30,87.437132633240438,23,-121.800523313999975,36.831421231000036,-121.800589418999948,36.832207340000025,-3.867133536664427
24,0,1,41,91.486750372137578,24,-121.800523313999975,36.831421231000036,-121.800888380999993,36.832191625000064,-20.852875698890358
25,0,1,44,91.767792973271284,25,-121.800523313999975,36.831421231000036,-121.800714203999974,36.832233796000025,-10.693950927713955
26,0,1,20,92.261456279624895,26,-121.800523313999975,36.831421231000036,-121.799866302999988,36.832063299000026,39.439269520517747
27,0,1,26,92.807239109093231,27,-121.800523313999975,36.831421231000036,-121.800259250999943,36.832230137000067,14.703609376859207
28,0,1,24,96.347525348262423,28,-121.800523313999975,36.831421231000036,-121.800100228999952,36.832220040000038,23.062104144508258
29,0,1,25,97.361730979648897,29,-121.800523313999975,36.831421231000036,-121.800155208999968,36.832247159000076,19.710816260879771
30,0,1,31,98.117238692501360,30,-121.800523313999975,36.831421231000036,-121.800675622999961,36.832296855000038,-7.959734595117434
31,0,1,33,104.902534778314916,31,-121.800523313999975,36.831421231000036,-121.800502569999992,36.832366369000056,1.010762519662012
32,0,1,34,106.495219335131807,32,-121.800523313999975,36.831421231000036,-121.800380094999980,36.832373937000057,6.890295829227587
33,0,1,32,107.006125968834894,33,-121.800523313999975,36.831421231000036,-121.800602299999980,36.832383379000078,-3.775511586317411
34,0,1,35,111.961810272752800,34,-121.800523313999975,36.831421231000036,-121.800452905999975,36.832428539000034,3.215880321703595
35,0,1,39,117.701532511545352,35,-121.800523313999975,36.831421231000036,-121.800633795999943,36.832478124000033,-4.803277533136570
36,0,1,38,119.711984763453898,36,-121.800523313999975,36.831421231000036,-121.800782681999976,36.832479625000076,-11.143968603050515
37,0,1,36,122.313744831968549,37,-121.800523313999975,36.831421231000036,-121.800443394999945,36.832521536000058,3.341490259735021
38,0,1,42,125.194400157885653,38,-121.800523313999975,36.831421231000036,-121.801293592999968,36.832364255000073,-33.288755660126704
39,0,1,27,126.552563988211958,39,-121.800523313999975,36.831421231000036,-121.800237310999989,36.832538191000026,11.630690097231575
40,0,1,43,131.217150018269308,40,-121.800523313999975,36.831421231000036,-121.800893339999959,36.832565615000078,-14.569719938738169
41,0,1,37,135.775631758268219,41,-121.800523313999975,36.831421231000036,-121.800589346999971,36.832643564000080,-2.486531955140823
42,0,1,29,139.950056438568112,42,-121.800523313999975,36.831421231000036,-121.800316864999957,36.832671365000067,7.561701684901587
43,0,1,28,141.128825349305487,43,-121.800523313999975,36.831421231000036,-121.800105684999949,36.832647843000075,15.306344212022656
44,0,2,1,15.660736283622175,1,-121.800571617999992,36.831556904000024,-121.800523313999975,36.831421231000036,164.028888253320986
45,0,2,7,22.530279970501780,2,-121.800571617999992,36.831556904000024,-121.800367512999969,36.831676481000045,53.914926487510300
46,0,2,5,23.735461036409813,3,-121.800571617999992,36.831556904000024,-121.800329361999957,36.831468461000043,114.425621657818255
47,0,2,6,25.902438743535743,4,-121.800571617999992,36.831556904000024,-121.800281565999967,36.831546135000053,92.644359068957783
48,0,2,3,26.800604903079481,5,-121.800571617999992,36.831556904000024,-121.800414957999976,36.831350835000080,148.570108985441209
49,0,2,8,28.170429028553205,6,-121.800571617999992,36.831556904000024,-121.800395661999971,36.831767692000028,33.862409962942792
50,0,2,4,38.325527568447818,7,-121.800571617999992,36.831556904000024,-121.800310932999992,36.831282392000048,142.642939488902869
51,0,2,12,43.592382965595867,8,-121.800571617999992,36.831556904000024,-121.800133798999980,36.831382438000048,116.368423693436043
