OID_,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK,FROM_X,FROM_Y,NEAR_X,NEAR_Y,NEAR_ANGLE
1,2,1,1.593281331976558,1,-121.800540302120766,36.831416799163748,-121.800523313999960,36.831421231000036,72.020043704824246
2,2,2,2.142254270303341,2,-121.800594459497518,36.831550945143100,-121.800571617999992,36.831556904000024,72.020011464741515
3,2,41,-2.992133347846360,3,-121.800856477546020,36.832199947942200,-121.800888380999993,36.832191625000064,-107.980145013386107
4,2,40,4.531761277099890,4,-121.800832050629481,36.832139444442596,-121.800783730999953,36.832152050000040,72.019869622309685
5,2,3,8.375948918531607,5,-121.800504265214514,36.831327536698929,-121.800414957999976,36.831350835000073,72.020065258962688
6,2,43,9.399402795179492,6,-121.800993147547572,36.832538466640756,-121.800893339999973,36.832565615000078,71.305085234452122
7,2,44,13.231469977799796,7,-121.800855283884431,36.832196991341149,-121.800714203999959,36.832233796000018,72.019855752695420
8,2,4,14.858046449344959,8,-121.800469354419391,36.831241063372708,-121.800310933000006,36.831282392000034,72.020086105156196
9,2,38,15.842292884028989,9,-121.800951600138077,36.832435557961077,-121.800782681999976,36.832479625000069,72.019798233324138
10,2,31,18.665244944800527,10,-121.800874640387562,36.832244935768578,-121.800675622999947,36.832296855000031,72.019844186805045
11,2,5,19.668268806168342,11,-121.800539072064012,36.831413752349270,-121.800329361999957,36.831468461000028,72.020044493494012
12,2,30,22.913242030787146,12,-121.800833730226614,36.832143604672282,-121.800589418999962,36.832207340000025,72.019868613222187
13,2,7,23.557016850816616,13,-121.800618686888569,36.831610955406042,-121.800367512999969,36.831676481000045,72.019996960785818
14,2,8,24.293061174450074,14,-121.800654684149549,36.831700118975427,-121.800395661999971,36.831767692000021,72.019975457482062
15,2,6,26.384606266587060,15,-121.800562888300007,36.831472744421326,-121.800281565999953,36.831546135000067,72.020030273227320
16,2,32,27.850702289136574,16,-121.800899257249142,36.832305909569364,-121.800602299999980,36.832383379000071,72.019829494459188
17,2,39,28.423862455936650,17,-121.800936864886808,36.832399060182269,-121.800633795999957,36.832478124000012,72.019807040972097
18,2,42,31.460714794019445,18,-121.800958144254750,36.832451767087370,-121.801293592999968,36.832364255000073,-107.980205645390811
19,2,12,33.315276972779479,19,-121.800489017972055,36.831289769616212,-121.800133798999980,36.831382438000034,72.020074353694824
20,2,23,35.059871206298332,20,-121.800802213839759,36.832065540987408,-121.800428389999993,36.832163063000060,72.019887425821750
21,2,33,35.730119992033792,21,-121.800883541231840,36.832266982388759,-121.800502569999978,36.832366369000056,72.019838875288215
22,2,13,37.839019360051665,22,-121.800466891481918,36.831234962719080,-121.800063438999970,36.831340214000079,72.020087578636080
23,2,37,37.862699951647528,23,-121.800993061814395,36.832538254288743,-121.800589346999956,36.832643564000072,72.021396706049700
24,2,22,40.006574702282919,24,-121.800729801963314,36.831886181661012,-121.800303234999944,36.831997463000050,72.019930636792310
25,2,9,42.073136426644233,25,-121.800662260674670,36.831718885653935,-121.800213659999940,36.831835915000049,72.019970939350173
26,2,35,42.073818175715516,26,-121.800901517041282,36.832311506870553,-121.800452905999961,36.832428539000034,72.019828142901787
27,2,11,43.472991804602771,27,-121.800518911600903,36.831363815437584,-121.800055386999986,36.831484738000029,72.020056526447178
28,2,36,46.066531393555067,28,-121.800934578786439,36.832393397731579,-121.800443394999959,36.832521536000044,72.019808408421639
29,2,34,46.381406212201476,29,-121.800874635285211,36.832244923130496,-121.800380094999966,36.832373937000050,72.019844190014595
30,2,26,51.709076284701943,30,-121.800810596487253,36.832086304181864,-121.800259250999943,36.832230137000067,72.019882420272424
31,2,14,53.116277945741608,31,-121.800473670228101,36.831251753553872,-121.799907325999982,36.831399499000035,72.020083529555322
32,2,21,54.188614421807856,32,-121.800709835812683,36.831836726699002,-121.800132053999960,36.831987456000014,72.019942551605453
