TRY Data Explorer Output	2023-2-14
Species Trait Table
Specieslist: 79, 80, 82, 1802, 3159, 3218, 5228, 9081, 9844, 211262, 10791, 11145, 213860, 21618, 22021, 231771, 64592, 33256, 34417, 
Trait	TraitID	.Abronia latifolia.	.Abronia maritima.	.Abronia umbellata.	.Agoseris apargioides.	.Ambrosia chamissonis.	.Ammophila arenaria.	.Artemisia pycnocephala.	.Cakile maritima.	.Calystegia soldanella.	.Camissoniopsis cheiranthifolia.	.Carpobrotus edulis.	.Castilleja latifolia.	.Chorizanthe pungens.	.Ericameria ericoides.	.Erysimum menziesii.	.Grindelia stricta var. platyphylla.	.Lathyrus littoralis.	.Leymus mollis.	.Lupinus arboreus.	
Bark crystals	831	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
Bark structure 	837	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
Dispersal syndrome	28	3	1	2	2	3	33	2	245	14	3	10	2	0	2	1	2	1	0	7	
Leaf compoundness	17	1	1	1	1	1	4	1	6	2	1	3	1	0	1	1	0	1	1	3	
Leaf type	43	1	1	1	1	1	4	1	3	1	1	1	1	0	2	1	0	1	1	1	
Leaflet number per leaf	759	1	1	1	1	1	1	1	2	1	1	1	1	0	1	1	0	0	1	0	
Photosynthesis pathway	22	2	4	2	0	0	13	1	12	9	1	8	0	0	1	0	0	1	2	5	
Plant containing salt glands	1023	2	2	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	
Plant growth form	42	12	15	29	17	11	48	7	39	34	15	25	12	9	146	16	1	12	17	34	
Plant growth form detailed consolidated	3401	1	1	1	1	0	1	1	0	0	1	0	1	1	1	1	0	1	1	1	
Plant growth form simple consolidated	3400	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	
Plant height vegetative	3106	1	0	0	0	0	121	0	25	112	0	18	0	0	1	0	0	0	39	16	
Plant human usage types	604	2	2	2	0	0	13	0	2	0	0	2	0	0	0	0	0	2	0	13	
Plant woodiness	38	1	1	1	1	1	9	1	10	8	1	7	1	0	3	1	0	1	2	5	
Seed dry mass	26	9	6	11	10	11	25	9	49	17	11	2	9	0	9	8	10	1	0	21	
Species occurrence range: ecological occurrence range	822	2	2	2	0	0	0	0	1	2	0	2	0	0	0	0	0	2	0	0	
Stem pith type	1233	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
Wood axial parenchyma types	1211	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	
Wood cambium type (cambial variant)	303	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	
Wood crystal types	304	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
Wood fiber cell wall thickness	1216	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	
Wood fiber-pits types	1220	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	
Wood growth ring distinction	273	2	0	0	0	0	0	0	4	2	0	3	0	0	0	0	0	0	0	0	
Wood ray types	1234	3	0	0	0	0	0	0	2	1	0	2	0	0	0	0	0	0	0	0	
Wood storied tissue types	1235	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Wood vessel density	1237	1	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	
Wood vessel diameter	1238	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	
Wood vessel distribution	1239	1	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	
Wood vessel helical thickenings	280	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Wood vessel perforation plates	278	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	
Leaf phenology type	37	0	2	0	0	0	5	0	4	4	0	3	0	0	0	0	0	0	0	0	
Plant lifespan (longevity)	59	0	2	0	0	1	15	1	9	9	1	3	0	0	1	0	0	0	0	3	
Plant nitrogen(N) fixation capacity	8	0	4	1	0	0	7	0	6	6	0	0	0	0	1	0	0	3	3	4	
Species tolerance to salt	1254	0	2	0	0	0	2	0	4	2	0	1	0	0	0	0	0	0	0	1	
Mycorrhiza type	7	0	0	14	0	0	27	0	22	15	0	0	0	0	0	0	0	0	0	0	
Root type, root architecture	65	0	0	1	0	0	6	0	2	2	0	0	0	0	0	0	0	0	0	0	
Stomata conductance: vapor pressure deficit at final reduction	430	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Stomata conductance: vapor pressure deficit at initial reduction	429	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Budbank height distribution	153	0	0	0	0	0	55	0	12	12	0	0	0	0	0	0	0	0	0	0	
Budbank seasonality	865	0	0	0	0	0	38	0	5	8	0	0	0	0	0	0	0	0	0	0	
Crown (canopy) length: diameter along the longest axis	324	0	0	0	0	0	1	0	1	1	0	4	0	0	0	0	0	0	0	0	
Dispersal frequency	890	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
Dispersal unit appendages	892	0	0	0	0	0	5	0	5	5	0	0	0	0	0	0	0	0	0	0	
Dispersal unit dry mass	233	0	0	0	0	0	32	0	1	52	0	0	0	0	0	0	0	0	0	0	
Dispersal unit exposure 	893	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	
Dispersal unit length	237	0	0	0	0	0	16	0	19	1	0	0	0	0	0	0	0	0	0	0	
Dispersal unit shape	232	0	0	0	0	0	6	0	7	3	0	0	0	0	0	0	0	0	0	0	
Dispersal unit surface structure	894	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	
Dispersal unit thickness 	235	0	0	0	0	0	15	0	3	1	0	0	0	0	0	0	0	0	0	0	
Dispersal unit type	231	0	0	0	0	0	16	0	155	2	0	1	0	0	0	0	0	0	0	1	
Dispersal unit width	236	0	0	0	0	0	16	0	11	1	0	0	0	0	0	0	0	0	0	0	
Flower color	207	0	0	0	0	0	1	0	2	2	0	2	0	0	0	0	0	0	0	1	
Flower conspicuous	581	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	
Flower insemination autogamous or xenogamous	204	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	
Flower pollinator and type of reward	205	0	0	0	0	0	2	0	3	4	0	0	0	0	0	0	0	0	0	0	
Flower sex	213	0	0	0	0	0	1	0	1	1	0	0	2	0	0	0	0	0	0	0	
Flower sex timing	212	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	
Flower sexual self-incompatibility mechanism	211	0	0	0	0	0	2	0	2	2	0	0	0	0	0	0	0	0	0	0	
Flower sexual syndrome (dichogamy, cleistogamy, dioecious, monoecious)	915	0	0	0	0	0	5	0	6	1	0	1	0	0	0	0	0	0	0	1	
Flowering requirement (requirement for fertility)	597	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	
Fruit type	99	0	0	0	0	0	2	0	2	3	0	2	0	0	0	0	0	0	0	0	
Fruit/seed abundance	605	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	
Fruit/seed color	585	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	
Fruit/seed conspicuous	586	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	
Leaf area (in case of compound leaves undefined if leaf or leaflet, undefined if petiole is in- or e	3114	0	0	0	0	0	1	0	4	0	0	1	0	0	133	0	0	0	5	1	
Leaf area (in case of compound leaves: leaf, petiole excluded)	3108	0	0	0	0	0	9	0	0	26	0	0	0	0	0	0	0	0	34	0	
Leaf area (in case of compound leaves: leaf, petiole included)	3110	0	0	0	0	0	61	0	1	58	0	0	0	0	0	0	0	0	0	8	
Leaf area (in case of compound leaves: leaflet, petiole excluded)	3109	0	0	0	0	0	2	0	5	0	0	0	0	0	0	0	0	0	0	0	
Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded	3115	0	0	0	0	0	19	0	5	28	0	0	0	0	0	0	0	0	34	0	
Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included	3116	0	0	0	0	0	63	0	12	64	0	0	0	0	0	0	0	0	0	8	
Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or exclu	3117	0	0	0	0	0	4	0	3	1	0	1	0	0	133	0	0	0	5	8	
Leaf calcium (Ca) content per leaf dry mass	252	0	0	0	0	0	9	0	0	30	0	0	0	0	0	0	0	0	34	0	
Leaf carbon (C) content per leaf area	570	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	
Leaf carbon (C) content per leaf dry mass	13	0	0	0	0	0	4	0	0	0	0	0	0	0	3	0	0	0	0	0	
Leaf carbon (C) isotope fractionation ('big' Delta 13C)	3478	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	
Leaf carbon/nitrogen (C/N) ratio	146	0	0	0	0	0	6	0	1	1	0	0	0	0	3	0	0	0	0	0	
Leaf color	582	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	
